变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
251127,Mega Beedrill,超大針蜂,Mega Beedrill,404404,메가독침붕,elitesmonster,1,12,8,,<99>,,,,44,,config/portrait/speedranktouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,config/portrait/simple/img_15_cjdzf@.png,config/big_hero/normal/img_15_cjdzf@.png,,,koudai_dazhenfengmega/hero_dazhenfengmega.skel,,config/big_hero/standby/img_15_cjdzf@.png,,{x=100;y=-50},<59007;59008;59003;59012;>,<441;442;443>,,,,,,,1.7,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251128,Mega Abomasnow,超級暴雪王,Mega Abomasnow,404404,메가눈설왕,elitesmonster,2,4,6,,<99>,,,,2303,,config/portrait/speedranktouxiang/img_460_cjbxw@.png,config/portrait/jinglingtouxiang/img_460_cjbxw@.png,config/portrait/jinglingtouxiang1/img_460_cjbxw@.png,config/portrait/simple/img_460_cjbxw@.png,config/big_hero/normal/img_460_cjbxw@.png,1.3,{x=0;y=20},koudai_baoxuewangmega/hero_baoxuewangmega.skel,,config/big_hero/standby/img_460_cjbxw@.png,,{x=0;y=-80},<59007;59008;59005;59012;59028;>,<23031;23032;23033>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251129,Muk,臭臭泥,Muk,404404,질뻐기,elitesmonster,2,8,,,<99>,,,,372,,config/portrait/speedranktouxiang/img_89_ccn@.png,config/portrait/jinglingtouxiang/img_89_ccn@.png,config/portrait/jinglingtouxiang1/img_89_ccn@.png,config/portrait/simple/img_89_ccn@.png,config/big_hero/normal/img_89_ccn@.png,1.1,{x=-45;y=18},koudai_chouchouni/hero_chouchouni.skel,,config/big_hero/standby/img_89_ccn@.png,,{x=140;y=-20},<3726;59007;59008;59002;59012;>,<3721;3722;3723>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251130,Mewtwo,超夢,Mewtwo,404404,뮤츠,elitesmonster,4,11,,,<99>,,,,761,,config/portrait/speedranktouxiang/img_150_cm@.png,config/portrait/jinglingtouxiang/img_150_cm@.png,config/portrait/jinglingtouxiang1/img_150_cm@.png,config/portrait/simple/img_150_cm@.png,config/big_hero/normal/img_150_cm@.png,1.8,{x=60;y=30},koudai_chaomeng/hero_chaomeng.skel,,config/big_hero/standby/img_150_cm@.png,,{x=140;y=-20},<7616;7615;59007;59008;59001;59011;59024;100261>,<7611;7612;7613>,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251131,Toxicroak,毒骷蛙,Toxicroak,404404,독개굴,elitesmonster,2,8,7,,<99>,,,,2272,,config/portrait/speedranktouxiang/img_454_dzw@.png,config/portrait/jinglingtouxiang/img_454_dzw@.png,config/portrait/jinglingtouxiang1/img_454_dzw@.png,config/portrait/simple/img_454_dzw@.png,config/big_hero/normal/img_454_dzw@.png,,{x=-10;y=0},koudai_dukuwa/hero_dukuwa.skel,,config/big_hero/standby/img_454_dzw@.png,,,<22726;59007;59008;59003;59012;>,<22721;22722;22723>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251132,Garchomp,烈咬陸鯊,Garchomp,404404,한카리아스,elitesmonster,3,15,9,,<99>,,,,2233,,config/portrait/speedranktouxiang/img_445_lyls@.png,config/portrait/jinglingtouxiang/img_445_lyls@.png,config/portrait/jinglingtouxiang1/img_445_lyls@.png,config/portrait/simple/img_445_lyls@.png,config/big_hero/normal/img_445_lyls@.png,1.6,{x=-65;y=85},koudai_lieyaolusha/hero_lieyaolusha.skel,,config/big_hero/standby/img_445_lyls@.png,,,<22336;59007;59008;59003;59012;>,<22331;22332;22333>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.9,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251133,Gardevoir,沙奈朵,Gardevoir,404404,가디안,elitesmonster,3,11,18,,<99>,,,,1393,,config/portrait/speedranktouxiang/img_282_snd@.png,config/portrait/jinglingtouxiang/img_282_snd@.png,config/portrait/jinglingtouxiang1/img_282_snd@.png,config/portrait/simple/img_282_snd@.png,config/big_hero/normal/img_282_snd@.png,1.4,{x=15;y=-50},koudai_shanaiduo/hero_shanaiduo.skel,,config/big_hero/standby/img_282_snd@.png,,{x=140;y=-20},<13936;59007;59008;59005;59012;59028;>,<13931;13932;13933>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251134,Scolipede,蜈蚣王,Scolipede,404404,펜드라,elitesmonster,2,12,8,,<99>,,,,2683,,config/portrait/speedranktouxiang/img_545_wgw@.png,config/portrait/jinglingtouxiang/img_545_wgw@.png,config/portrait/jinglingtouxiang1/img_545_wgw@.png,config/portrait/simple/img_545_wgw@.png,config/big_hero/normal/img_545_wgw@.png,1.4,{x=35;y=0},koudai_wugongwang/hero_wugongwang.skel,,config/big_hero/standby/img_545_wgw@.png,,,<26836;59007;59008;59002;59012;>,<26831;26832;26833>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251135,Salamence,暴飛龍,Salamence,404404,보만다,elitesmonster,3,15,10,,<99>,,,,1893,,config/portrait/speedranktouxiang/img_373_bfl@.png,config/portrait/jinglingtouxiang/img_373_bfl@.png,config/portrait/jinglingtouxiang1/img_373_bfl@.png,config/portrait/simple/img_373_bfl@.png,config/big_hero/normal/img_373_bfl@.png,1.8,{x=70;y=10},koudai_baofeilong/hero_baofeilong.skel,,config/big_hero/standby/img_373_bfl@.png,,,<18936;59007;59008;59001;59011;59024;100271>,<18931;18932;18933>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251136,Golem,隆隆岩,Golem,404404,딱구리,elitesmonster,2,13,9,,<99>,,,,303,,config/portrait/speedranktouxiang/img_76_lly@.png,config/portrait/jinglingtouxiang/img_76_lly@.png,config/portrait/jinglingtouxiang1/img_76_lly@.png,config/portrait/simple/img_76_lly@.png,config/big_hero/normal/img_76_lly@.png,1.3,{x=25;y=-10},koudai_longlongyan/hero_longlongyan.skel,,config/big_hero/standby/img_76_lly@.png,,,<3036;59007;59008;59003;59012;>,<3031;3032;3033>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2.2,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251137,Mega Charizard X,超級噴火龍X,Mega Charizard X,404404,메가리자몽X,elitesmonster,2,2,15,,<99>,,,,14,,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,,{x=-45;y=20},koudai_penhuolongmegax/hero_penhuolongmegax.skel,,config/big_hero/standby/img_6_cjphlx@.png,,{x=50;y=-120},<59007;59008;59003;59012;>,<141;142;143>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251138,Mega Gengar,超級耿鬼,Mega Gengar,404404,메가팬텀,elitesmonster,3,14,8,,<99>,,,,394,,config/portrait/speedranktouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang/img_94_cjgg@.png,config/portrait/jinglingtouxiang1/img_94_cjgg@.png,config/portrait/simple/img_94_cjgg@.png,config/big_hero/normal/img_94_cjgg@.png,0.9,{x=-5;y=20},koudai_gengguimega/hero_gengguimega.skel,,config/big_hero/standby/img_94_cjgg@.png,,,<59007;59008;59005;59012;59028;>,<3941;3942;3943>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251139,Aurorus,冰雪巨龍,Aurorus,404404,아마루르가,elitesmonster,2,13,6,,<99>,,,,3502,,config/portrait/speedranktouxiang/img_699_bxjl@.png,config/portrait/jinglingtouxiang/img_699_bxjl@.png,config/portrait/jinglingtouxiang1/img_699_bxjl@.png,config/portrait/simple/img_699_bxjl@.png,config/big_hero/normal/img_699_bxjl@.png,1.8,{x=70;y=-20},koudai_bingxuejulong/hero_bingxuejulong.skel,,config/big_hero/standby/img_699_bxjl@.png,,,<35026;59007;59008;59002;59012;>,<35021;35022;35023>,,,{'hitPos'={'x'=0;'y'=175};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,2.6,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251140,Rayquaza,裂空座,Rayquaza,Rayquaza,레쿠쟈,elitesmonster,4,15,10,,<99>,,,,1981,,config/portrait/speedranktouxiang/img_384_lkz@.png,config/portrait/jinglingtouxiang/img_384_lkz@.png,config/portrait/jinglingtouxiang1/img_384_lkz@.png,config/portrait/simple/img_384_lkz@.png,config/big_hero/normal/img_384_lkz@.png,1.3,{x=50;y=-30},koudai_liekongzuo/hero_liekongzuo.skel,,config/big_hero/standby/img_384_lkz@.png,,{x=140;y=-20},<19816;59007;59008;59001;59011;59024;100281>,<19811;19812;19813>,,,{'hitPos'={'x'=0;'y'=195};'lifePos'={'x'=0;'y'=410};'headPos'={'x'=0;'y'=370};'namePos'={'x'=0;'y'=410}},,,,2.3,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251141,Clefable,皮可西,Clefable,404404,픽시,elitesmonster,2,18,,,<99>,,,,133,,config/portrait/speedranktouxiang/img_36_pkx@.png,config/portrait/jinglingtouxiang/img_36_pkx@.png,config/portrait/jinglingtouxiang1/img_36_pkx@.png,config/portrait/simple/img_36_pkx@.png,config/big_hero/normal/img_36_pkx@.png,1.1,{x=15;y=5},koudai_pikexi/hero_pikexi.skel,,config/big_hero/standby/img_36_pkx@.png,,{x=140;y=-20},<1336;59007;59008;59003;59012;>,<1331;1332;1333>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251142,Mega Beedrill,超大針蜂,Mega Beedrill,404404,메가독침붕,elitesmonster,1,12,8,,<99>,,,,44,,config/portrait/speedranktouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,config/portrait/simple/img_15_cjdzf@.png,config/big_hero/normal/img_15_cjdzf@.png,,,koudai_dazhenfengmega/hero_dazhenfengmega.skel,,config/big_hero/standby/img_15_cjdzf@.png,,{x=100;y=-50},<59007;59008;59003;59012;>,<441;442;443>,,,,,,,1.7,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251143,Mega Abomasnow,超級暴雪王,Mega Abomasnow,404404,메가눈설왕,elitesmonster,2,4,6,,<99>,,,,2303,,config/portrait/speedranktouxiang/img_460_cjbxw@.png,config/portrait/jinglingtouxiang/img_460_cjbxw@.png,config/portrait/jinglingtouxiang1/img_460_cjbxw@.png,config/portrait/simple/img_460_cjbxw@.png,config/big_hero/normal/img_460_cjbxw@.png,1.3,{x=0;y=20},koudai_baoxuewangmega/hero_baoxuewangmega.skel,,config/big_hero/standby/img_460_cjbxw@.png,,{x=0;y=-80},<59007;59008;59005;59012;59028;>,<23031;23032;23033>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251144,Slurpuff,胖甜妮,Slurpuff,404404,나루림,elitesmonster,2,18,,,<99>,,,,3432,,config/portrait/speedranktouxiang/img_685_ptn@.png,config/portrait/jinglingtouxiang/img_685_ptn@.png,config/portrait/jinglingtouxiang1/img_685_ptn@.png,config/portrait/simple/img_685_ptn@.png,config/big_hero/normal/img_685_ptn@.png,,{x=10;y=40},koudai_pangtianni/hero_pangtianni.skel,,config/big_hero/standby/img_685_ptn@.png,,{x=140;y=-20},<34326;59007;59008;59002;59012;>,<34321;34322;34323>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251145,Metagross,巨金怪,Metagross,Cự kim quái,메타그로스,elitesmonster,3,17,11,,<99>,,,,1903,,config/portrait/speedranktouxiang/img_376_jjg@.png,config/portrait/jinglingtouxiang/img_376_jjg@.png,config/portrait/jinglingtouxiang1/img_376_jjg@.png,config/portrait/simple/img_376_jjg@.png,config/big_hero/normal/img_376_jjg@.png,1.4,{x=0;y=-20},koudai_jujinguai/hero_jujinguai.skel,,config/big_hero/standby/img_376_jjg@.png,,{x=140;y=-20},<19036;59007;59008;59001;59011;59030;100291>,<19031;19032;19033>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.8,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251146,Hawlucha,摔角鷹人,Hawlucha,404404,루차불,elitesmonster,2,7,10,,<99>,,,,3511,,config/portrait/speedranktouxiang/img_701_sjyr@.png,config/portrait/jinglingtouxiang/img_701_sjyr@.png,config/portrait/jinglingtouxiang1/img_701_sjyr@.png,config/portrait/simple/img_701_sjyr@.png,config/big_hero/normal/img_701_sjyr@.png,,{x=40;y=-10},koudai_shuaijiaoyingren/hero_shuaijiaoyingren.skel,,config/big_hero/standby/img_701_sjyr@.png,,{x=140;y=-20},<35116;59007;59008;59003;59012;>,<35111;35112;35113>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251147,Mega Alakazam,超級胡地,Mega Alakazam,404404,메가후딘,elitesmonster,3,11,,,<99>,,,,264,,config/portrait/speedranktouxiang/img_65_cjhd@.png,config/portrait/jinglingtouxiang/img_65_cjhd@.png,config/portrait/jinglingtouxiang1/img_65_cjhd@.png,config/portrait/simple/img_65_cjhd@.png,config/big_hero/normal/img_65_cjhd@.png,1.5,{x=25;y=80},koudai_hudimega/hero_hudimega.skel,,config/big_hero/standby/img_65_cjhd@.png,,,<59007;59008;59003;59012;>,<2641;2642;2643>,,,,,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251148,Kyogre,蓋歐卡,Kyogre,404404,가이오가,elitesmonster,4,3,,,<99>,,,,1961,,config/portrait/speedranktouxiang/img_382_gok@.png,config/portrait/jinglingtouxiang/img_382_gok@.png,config/portrait/jinglingtouxiang1/img_382_gok@.png,config/portrait/simple/img_382_gok@.png,config/big_hero/normal/img_382_gok@.png,2,{x=100;y=-20},koudai_gaiouka/hero_gaiouka.skel,,config/big_hero/standby/img_382_gok@.png,,,<19616;59007;59008;59005;59012;59028;>,<19611;19612;19613>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.2,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251149,Kabutops,鐮刀盔,Kabutops,404404,투구푸스,elitesmonster,2,13,3,,<99>,,,,692,,config/portrait/speedranktouxiang/img_141_ldk@.png,config/portrait/jinglingtouxiang/img_141_ldk@.png,config/portrait/jinglingtouxiang1/img_141_ldk@.png,config/portrait/simple/img_141_ldk@.png,config/big_hero/normal/img_141_ldk@.png,1.2,{x=-25;y=30},koudai_liandaokui/hero_liandaokui.skel,,config/big_hero/standby/img_141_ldk@.png,,,<6926;59007;59008;59002;59012;>,<6921;6922;6923>,,,{'hitPos'={'x'=0;'y'=145};'lifePos'={'x'=0;'y'=310};'headPos'={'x'=0;'y'=270};'namePos'={'x'=0;'y'=310}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251150,Lugia,洛奇亞,Lugia,LUGIA,루기아,elitesmonster,4,11,10,,<99>,,,,1261,,config/portrait/speedranktouxiang/img_249_lqy@.png,config/portrait/jinglingtouxiang/img_249_lqy@.png,config/portrait/jinglingtouxiang1/img_249_lqy@.png,config/portrait/simple/img_249_lqy@.png,config/big_hero/normal/img_249_lqy@.png,,,hero_luoqiya/hero_luoqiya.skel,,config/big_hero/standby/img_249_lqy@.png,,,<12616;12614;59007;59008;59001;59011;100301>,<12611;12612;12613>,,,{'hitPos'={'x'=0;'y'=220};'lifePos'={'x'=0;'y'=460};'headPos'={'x'=0;'y'=420};'namePos'={'x'=0;'y'=460}},,,,2.1,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251151,Rhyperior,超甲狂犀,Rhyperior,404404,거대코뿌리,elitesmonster,3,9,13,,<99>,,,,493,,config/portrait/speedranktouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang/img_464_cjkx@.png,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,config/portrait/simple/img_464_cjkx@.png,config/big_hero/normal/img_464_cjkx@.png,1.2,{x=20;y=50},koudai_chaojiakuangxi/hero_chaojiakuangxi.skel,,config/big_hero/standby/img_464_cjkx@.png,,,<4936;59005;59007;59008;59012;>,<4931;4932;4933>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251152,Meganium,大竺葵,Meganium,404404,메가니움,elitesmonster,2,4,,,<99>,,,,783,,config/portrait/speedranktouxiang/img_154_dzk@.png,config/portrait/jinglingtouxiang/img_154_dzk@.png,config/portrait/jinglingtouxiang1/img_154_dzk@.png,config/portrait/simple/img_154_dzk@.png,config/big_hero/normal/img_154_dzk@.png,1.1,{x=0;y=30},koudai_dazhukui/hero_dazhukui.skel,,config/big_hero/standby/img_154_dzk@.png,,,<7836;59005;59007;59008;59012;>,<7831;7832;7833>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251153,Machamp,怪力,Machamp,404404,괴력몬,elitesmonster,2,7,,,<99>,,,,273,,config/portrait/speedranktouxiang/img_68_gl@.png,config/portrait/jinglingtouxiang/img_68_gl@.png,config/portrait/jinglingtouxiang1/img_68_gl@.png,config/portrait/simple/img_68_gl@.png,config/big_hero/normal/img_68_gl@.png,1.5,{x=-30;y=30},koudai_guaili/hero_guaili.skel,,config/big_hero/standby/img_68_gl@.png,,,<2736;59005;59007;59008;59012;>,<2731;2732;2733>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251154,Emolga,電飛鼠,Emolga,404404,에몽가,elitesmonster,2,5,10,,<99>,,,,2891,,config/portrait/speedranktouxiang/img_587_dfs@.png,config/portrait/jinglingtouxiang/img_587_dfs@.png,config/portrait/jinglingtouxiang1/img_587_dfs@.png,config/portrait/simple/img_587_dfs@.png,config/big_hero/normal/img_587_dfs@.png,,{x=0;y=40},koudai_dianfeishu/hero_dianfeishu.skel,,config/big_hero/standby/img_587_dfs@.png,,{x=140;y=-20},<28916;59005;59007;59008;59012;>,<28911;28912;28913>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.1,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251155,Snorunt,雪童子,Snorunt,404404,눈꼬마,elitesmonster,2,6,,,<99>,,,,1851,,config/portrait/speedranktouxiang/img_361_xtz@.png,config/portrait/jinglingtouxiang/img_361_xtz@.png,config/portrait/jinglingtouxiang1/img_361_xtz@.png,config/portrait/simple/img_361_xtz@.png,config/big_hero/normal/img_361_xtz@.png,,,koudai_xuetongzi/hero_xuetongzi.skel,,config/big_hero/standby/img_361_xtz@.png,,,<18516;59005;59007;59008;59012;100311;>,<18511;18512;18513>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=320}},,,,2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251156,Electivire,電擊魔獸,Electivire,404404,에레키블,elitesmonster,3,5,,,<99>,,,,593,,config/portrait/speedranktouxiang/img_466_djms@.png,config/portrait/jinglingtouxiang/img_466_djms@.png,config/portrait/jinglingtouxiang1/img_466_djms@.png,config/portrait/simple/img_466_djms@.png,config/big_hero/normal/img_466_djms@.png,2,{x=0;y=180},koudai_dianjimoshou/hero_dianjimoshou.skel,,config/big_hero/standby/img_466_djms@.png,,{x=140;y=-20},<5936;59005;59007;59008;59012;>,<5931;5932;5933>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251157,Gyarados,暴鯉龍,Gyarados,404404,갸라도스,elitesmonster,3,3,10,,<99>,,,,631,,config/portrait/speedranktouxiang/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,config/portrait/jinglingtouxiang1/img_130_bll@.png,config/portrait/simple/img_130_bll@.png,config/big_hero/normal/img_130_bll@.png,1.3,{x=-20;y=100},koudai_baolilong/hero_baolilong.skel,,config/big_hero/standby/img_130_bll@.png,,{x=140;y=-20},<6326;59005;59007;59008;59012;>,<6321;6322;6323>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=380};'headPos'={'x'=0;'y'=340};'namePos'={'x'=0;'y'=380}},,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
